Source_Material,Outcome,Specimen_Storage_Time_Comparison,ICC_adjusted,ICC_adjusted_CI_lower,ICC_adjusted_CI_upper
Buccal Cells,observed_features,1 Month,0.942455042451804,0.865292308301882,0.976605841441137
Buccal Cells,observed_features,12 Months,0.913439169790637,0.805710523917407,0.965873918698318
Buccal Cells,observed_features,5 Years,0.958274009170381,0.903388184418385,0.982144068530332
Buccal Cells,shannon_entropy,1 Month,0.94647489371291,0.897169092043857,0.977442469973314
Buccal Cells,shannon_entropy,12 Months,0.938377457346735,0.862469909041329,0.974648441459768
Buccal Cells,shannon_entropy,5 Years,0.93960009228862,0.877656040209932,0.975500471250027
Buccal Cells,pielou_evenness,1 Month,0.878233010644125,0.691795443248628,0.941335584204641
Buccal Cells,pielou_evenness,12 Months,0.919605832779406,0.807289098975232,0.958510552957987
Buccal Cells,pielou_evenness,5 Years,0.892227221372171,0.74216389268239,0.957378859871601
Buccal Cells,faith_pd,1 Month,0.92830650462423,0.820734608650991,0.966690955223414
Buccal Cells,faith_pd,12 Months,0.873118433714129,0.678482338720461,0.937575210876923
Buccal Cells,faith_pd,5 Years,0.938410773768644,0.824960549688152,0.975284678176991
Buccal Cells,bray_curtis_PC1,1 Month,0.987097511538178,0.968402269913945,0.99603371670435
Buccal Cells,bray_curtis_PC1,12 Months,0.989075450890477,0.947700076863995,0.996413857422217
Buccal Cells,bray_curtis_PC1,5 Years,0.97254010394261,0.932517457042775,0.990280470811508
Buccal Cells,bray_curtis_PC2,1 Month,0.983643288703838,0.955805826283067,0.992317339658228
Buccal Cells,bray_curtis_PC2,12 Months,0.97625217170877,0.914529793113746,0.991166008195302
Buccal Cells,bray_curtis_PC2,5 Years,0.977491571680985,0.945346982109007,0.991237052931151
Buccal Cells,jaccard_PC1,1 Month,0.961750844703556,0.922417042534205,0.984586535346507
Buccal Cells,jaccard_PC1,12 Months,0.9840980445684,0.96191839532346,0.993686611458114
Buccal Cells,jaccard_PC1,5 Years,0.968739812876412,0.929275087333069,0.99163205069981
Buccal Cells,jaccard_PC2,1 Month,0.974778317739601,0.943916808778697,0.990200602683907
Buccal Cells,jaccard_PC2,12 Months,0.986955526323444,0.964751721603698,0.995147113833286
Buccal Cells,jaccard_PC2,5 Years,0.98213739095489,0.96647455552501,0.993894769140506
Buccal Cells,unweighted_unifrac_PC1,1 Month,0.956941113348558,0.874871679651066,0.976670334984025
